SDN,,mgL_1,mgL_2,mgL_3,mgL_4,mgL_5,mgL_6,mgL_7,mgL_8,mgL_9,mgL_10,mgL_11,mgL_12,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC_10,TC_11,TC_12,QF_DO_1,QF_DO_2,QF_DO_3,QF_DO_4,QF_DO_5,QF_DO_6,QF_DO_7,QF_DO_8,QF_DO_9,QF_DO_10,QF_DO_11,QF_DO_12,,QF_TC_1,QF_TC_2,QF_TC_3,QF_TC_4,QF_TC_5,QF_TC_6,QF_TC_7,QF_TC_8,QF_TC_9,QF_TC_10,QF_TC_11,QF_TC_12,,QF_DO2_1,QF_DO2_2,QF_DO2_3,QF_DO2_4,QF_DO2_5,QF_DO2_6,QF_DO2_7,QF_DO2_8,QF_DO2_9,QF_DO2_10,QF_DO2_11,QF_DO2_12
738198.125,2/11/21 3:00,7.177578522,3.797826418,10.57611007,NaN,5.815778146,5.761327057,5.901064252,4.82136672,5.012608467,,,5.558572727,15.5,12.8,15.9,,19.4,9.8,18.7,12.5,18.3,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.1458,2/11/21 3:29,7.332838453,4.134732845,10.45740116,NaN,5.815245747,6.002027166,5.919192901,4.911694689,5.200565455,,,5.710579305,15.7,13,16.1,,20,9.7,19.3,12.8,19,,,9.5,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.1667,2/11/21 4:00,7.230849887,4.052297863,10.52291961,NaN,5.870333752,5.828365151,5.918944265,5.076695509,5.225339483,,,5.583819991,16,12.8,15.9,,19.9,9.8,19.4,12.7,19,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.1875,2/11/21 4:30,7.311415699,4.107855552,10.53646207,NaN,5.847442216,5.900891961,5.884777151,5.154796387,5.145702505,,,5.480901322,15.6,12.8,16,,19.8,9.6,19.2,12.7,19,,,9.6,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.2083,2/11/21 4:59,7.345925194,3.949534519,10.46040351,NaN,5.867103483,5.922405852,5.888647993,4.797373271,5.255815306,,,5.730026733,15.4,12.7,15.8,,19.9,9.7,19.1,12.5,18.9,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.2292,2/11/21 5:30,7.420565387,3.879854528,10.56849968,NaN,5.952294742,6.019130573,5.913484738,5.019624196,5.315622371,,,5.57783656,15.6,12.7,15.8,,19.9,9.8,19.3,12.8,19.2,,,9.5,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.25,2/11/21 6:00,7.284525863,3.964128551,10.66277624,NaN,5.962294528,6.182672252,6.0151285,5.046285845,5.410944391,,,5.622147812,15.6,12.7,16,,20.3,9.7,19.5,12.7,19.3,,,9.6,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.2708,2/11/21 6:29,7.57889244,4.243998474,10.67308926,NaN,6.005503638,6.034712349,6.118298748,5.107349992,5.36333817,,,5.818182874,15.8,12.9,16.2,,20.3,9.7,19.7,12.5,19.3,,,9.6,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.2917,2/11/21 7:00,7.625709713,4.133623494,10.73765697,NaN,5.999240517,6.088220346,6.091434229,5.070069863,5.341185561,,,5.802626721,15.7,13.1,16.2,,20.5,9.6,20,12.8,19.6,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
738198.3125,2/11/21 7:30,7.594828332,4.071633761,10.75627629,NaN,5.975505036,6.188339651,6.128089378,5.093663188,5.317508119,,,5.796117457,16,12.9,16.2,,20.4,9.7,19.9,12.8,19.5,,,9.7,1,1,1,,1,1,1,1,1,,,1,,1,1,1,,1,1,1,1,1,,,1,,0,0,0,,0,0,0,0,0,,,0
