POP,TIMESTEP,SITE,TRT,pSurv,Ind,Deaths,AveInitialWt,WtStdev,WtSterr
S,45,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,46,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,47,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,48,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,49,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,50,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,51,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,52,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,53,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,54,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,55,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,56,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,57,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,58,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,59,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,60,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,61,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,62,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,63,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,64,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,65,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,66,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
S,67,HA,NC,91.66666667,11,1,29.95303636,29.16602276,8.793886739
